,bet_days_7d,no_bet_streak_days,bet_interval_day,bet_amount_ratio_today_vs_history,bet_count_ratio_today_vs_history,avg_bet_one_time_today_log,rtp_7_bet_days,rtp_day,max_consecutive_loss_count_today,current_balance_max_to_avg_bet_ratio
bet_days_7d,1.0,-0.16128345084626214,0.04043292118099994,-0.017532751427251206,-0.029373717960855684,0.1266720167191162,0.040233722032119855,0.009440703106295894,0.282492371346314,0.01401558143097645
no_bet_streak_days,-0.16128345084626214,1.0,-0.008682606682882227,0.02103803098469636,0.02540386647053843,0.018159006108973214,0.0032227458387734855,0.0025311240141538995,-0.021591952212980815,0.003249693501810604
bet_interval_day,0.04043292118099994,-0.008682606682882227,1.0,-0.0012951826740377587,-0.002328903290710537,0.006568538116386155,0.0003530786556225213,-0.004423420469553653,-0.02511221527006072,-0.008184838955617151
bet_amount_ratio_today_vs_history,-0.017532751427251206,0.02103803098469636,-0.0012951826740377587,1.0,0.5650163818917687,0.02195749898999986,0.0006221441222318432,0.0017589842463102722,0.010218668351038313,0.05125169627091174
bet_count_ratio_today_vs_history,-0.029373717960855684,0.02540386647053843,-0.002328903290710537,0.5650163818917687,1.0,-0.000655483120823282,0.0017366745855345279,0.0033970565618310143,0.02119145932067329,0.009860331412275205
avg_bet_one_time_today_log,0.1266720167191162,0.018159006108973214,0.006568538116386155,0.02195749898999986,-0.000655483120823282,1.0,0.010065879889675214,0.01179105507970401,0.07873474410738332,0.08698730859430318
rtp_7_bet_days,0.040233722032119855,0.0032227458387734855,0.0003530786556225213,0.0006221441222318432,0.0017366745855345279,0.010065879889675214,1.0,0.7859605130442696,0.030786268256341273,0.009677773045480299
rtp_day,0.009440703106295894,0.0025311240141538995,-0.004423420469553653,0.0017589842463102722,0.0033970565618310143,0.01179105507970401,0.7859605130442696,1.0,0.02946785968792594,0.018481825101543968
max_consecutive_loss_count_today,0.282492371346314,-0.021591952212980815,-0.02511221527006072,0.010218668351038313,0.02119145932067329,0.07873474410738332,0.030786268256341273,0.02946785968792594,1.0,0.09982870774210555
current_balance_max_to_avg_bet_ratio,0.01401558143097645,0.003249693501810604,-0.008184838955617151,0.05125169627091174,0.009860331412275205,0.08698730859430318,0.009677773045480299,0.018481825101543968,0.09982870774210555,1.0
